x,y,z,Ex,Ey,Ez,|E|
-3.5,-3.5,-3.5,-5.121188324976019e-08,1.8515883178628702e-07,-5.5337736503404335e-11,1.9211052297236265e-07
-3.5,-3.5,-1.75,0.0019881750946143147,-0.024727079909920763,5.130402755731902e-06,0.024806881049408126
-3.5,-3.5,0.0,-0.0023642057181038644,0.003954787059866828,4.799789271872851e-06,0.004607584226509828
-3.5,-3.5,1.75,-0.0018884081380128879,0.0026312105584059796,5.930981582527098e-06,0.003238732695812197
-3.5,-3.5,3.5,6.658751373278621e-07,8.435147782786828e-07,-8.648711433348318e-10,1.0746662866620638e-06
-3.5,-1.75,-3.5,-9.821889504550856e-07,-1.734142037697626e-07,1.2752130651816485e-09,9.973811942449712e-07
-3.5,-1.75,-1.75,0.020442590098875953,-0.018243824458101555,-2.1537660478706538e-05,0.02739958183402631
-3.5,-1.75,0.0,-0.02418251100699646,-0.01481529596173378,1.3859794631385619e-05,0.028359954603827866
-3.5,-1.75,1.75,-0.01303606115991285,-0.01236413452619545,-3.6027840801549274e-05,0.017966970004765957
-3.5,-1.75,3.5,1.0967336194139197e-05,6.98537524084881e-06,4.220283282665556e-09,1.3002997664443771e-05
-3.5,0.0,-3.5,-9.555177124918317e-07,-1.825309274492903e-07,2.029064124049014e-09,9.727979006259934e-07
-3.5,0.0,-1.75,0.020747944570558716,-0.01809075082623735,-2.7460485423522835e-05,0.02752731776687013
-3.5,0.0,0.0,-0.024266911993099938,-0.015237227675174108,1.3611105731771604e-05,0.02865408016614996
-3.5,0.0,1.75,-0.012984208328881044,-0.012700364569919948,-3.5926319262762665e-05,0.018162880191122707
-3.5,0.0,3.5,1.087575166285385e-05,7.111117070653788e-06,8.866581417585137e-09,1.2994230983050825e-05
-3.5,1.75,-3.5,-9.246998743941221e-07,-1.811331421763358e-07,2.1604130640575998e-10,9.422733783637443e-07
-3.5,1.75,-1.75,0.020744851365712677,-0.018088253057630507,-3.102978398903176e-05,0.027523348628208107
-3.5,1.75,0.0,-0.024198281185084713,-0.015228000767798686,1.3486962747085727e-05,0.028591065065762526
-3.5,1.75,1.75,-0.013027872070309424,-0.012693300029233594,-3.587275841415341e-05,0.018189189183888493
-3.5,1.75,3.5,1.0833627492661648e-05,7.1021214335100615e-06,4.435693407705287e-09,1.2954058560213988e-05
-3.5,3.5,-3.5,-3.3093532964031193e-07,9.733144699612604e-08,8.262359394491983e-10,3.4495258463204654e-07
-3.5,3.5,-1.75,0.012786610646470459,-0.023130951444696082,-5.491077842848287e-05,0.026429932685402495
-3.5,3.5,0.0,-0.014521513082578985,-0.0008236457580376999,3.544170055321859e-05,0.014544895690804532
-3.5,3.5,1.75,-0.010278105908059075,-0.001308400810896563,-0.00016352958267886635,0.01036234122501497
-3.5,3.5,3.5,4.344864627461478e-06,2.3723243977853e-06,1.5696749075336875e-08,4.9503553475710095e-06
-1.75,-3.5,-3.5,-7.070014552736896e-09,4.78345066394438e-06,-8.039409733509101e-10,4.783455956295281e-06
-1.75,-3.5,-1.75,0.0019790507233807784,-0.30166995053463475,6.37888820426394e-05,0.30167644880957506
-1.75,-3.5,0.0,0.00024408172089126438,0.04878304117833397,1.8398795397537374e-05,0.04878365526494682
-1.75,-3.5,1.75,0.0002794965708732653,0.018835823264593723,4.513842483964178e-05,0.018837950893489903
-1.75,-3.5,3.5,-2.567967572362746e-07,-1.5605741237806835e-05,-1.632687607577215e-08,1.56078624648859e-05
-1.75,-1.75,-3.5,-4.2037511496881e-07,-5.974824282227845e-07,1.904787642955687e-08,7.30796353929404e-07
-1.75,-1.75,-1.75,0.025117116260670307,-0.23218462045807295,-0.0002474261823358568,0.23353935155820554
-1.75,-1.75,0.0,-0.004612815795419949,-0.10353391973388804,4.135614363900392e-05,0.10363663597085859
-1.75,-1.75,1.75,-0.001882251908280612,-0.06574597646669031,-1.7612765435749316e-05,0.06577291694926057
-1.75,-1.75,3.5,1.5102668354212382e-06,5.464567385953958e-05,5.026362351549426e-08,5.4666562942160445e-05
-1.75,0.0,-3.5,-3.738017920134007e-07,-7.418688541688728e-07,2.6346639423618073e-08,8.311385696183182e-07
-1.75,0.0,-1.75,0.02543722701622795,-0.23053555827375413,-0.0003273975594275217,0.2319349118525034
-1.75,0.0,0.0,-0.004680713767127105,-0.1069753423403626,3.275524035287009e-05,0.10707770086770317
-1.75,0.0,1.75,-0.0018524834030183273,-0.06764421274880247,-1.2431821199580257e-05,0.06766957490419079
-1.75,0.0,3.5,1.496642238765527e-06,5.6107973316648575e-05,9.11680781957939e-08,5.6128004768663277e-05
-1.75,1.75,-3.5,-3.6308661255128557e-07,-7.245926275379085e-07,5.731307018926139e-09,8.104931905799103e-07
-1.75,1.75,-1.75,0.025389657100399886,-0.2305068902174921,-0.0003656449887448768,0.23190126093161426
-1.75,1.75,0.0,-0.004621179028131352,-0.10690410206685451,3.264857938208154e-05,0.10700394105013246
-1.75,1.75,1.75,-0.001874069645773373,-0.06761239720380932,-1.2275874230153791e-05,0.06763836591299335
